featureid	state	dot_district	county	town
201473434	Vermont	1	Windham	Stratton
201473435	Vermont	1	Windham	Stratton
201473448	Vermont	1	Windham	Stratton
201473449	Vermont	1	Windham	Stratton
201473554	Vermont	1	Windham	Stratton
201473555	Vermont	1	Windham	Stratton
201473682	Vermont	1	Windham	Stratton
201473683	Vermont	1	Windham	Stratton
201473794	Vermont	1	Windham	Sunderland
201473794	Vermont	1	Windham	Stratton
201473794	Vermont	1	Bennington	Sunderland
201473794	Vermont	1	Bennington	Stratton
201473895	Vermont	1	Windham	Stratton
201473846	Vermont	1	Windham	Stratton
201473847	Vermont	1	Windham	Stratton
201473795	Vermont	1	Windham	Stratton
201473806	Vermont	1	Windham	Sunderland
201473806	Vermont	1	Windham	Stratton
201473806	Vermont	1	Bennington	Sunderland
201473806	Vermont	1	Bennington	Stratton
201473805	Vermont	1	Windham	Stratton
201474006	Vermont	1	Windham	Stratton
201473826	Vermont	1	Windham	Sunderland
201473826	Vermont	1	Windham	Stratton
201473826	Vermont	1	Bennington	Sunderland
201473826	Vermont	1	Bennington	Stratton
201473815	Vermont	1	Windham	Sunderland
201473815	Vermont	1	Windham	Stratton
201473815	Vermont	1	Bennington	Sunderland
201473815	Vermont	1	Bennington	Stratton
201474169	Vermont	1	Windham	Stratton
201474169	Vermont	1	Windham	Somerset
201473896	Vermont	1	Windham	Stratton
201474007	Vermont	1	Windham	Stratton
201474168	Vermont	1	Windham	Stratton
201474113	Vermont	1	Windham	Sunderland
201474113	Vermont	1	Windham	Stratton
201474113	Vermont	1	Bennington	Sunderland
201474113	Vermont	1	Bennington	Stratton
201474093	Vermont	1	Windham	Stratton
201474114	Vermont	1	Windham	Stratton
201474179	Vermont	1	Windham	Stratton
201474332	Vermont	1	Windham	Sunderland
201474332	Vermont	1	Windham	Stratton
201474332	Vermont	1	Windham	Somerset
201474332	Vermont	1	Bennington	Sunderland
201474332	Vermont	1	Bennington	Stratton
201474332	Vermont	1	Bennington	Somerset
201474132	Vermont	1	Windham	Stratton
201474376	Vermont	1	Windham	Stratton
201474376	Vermont	1	Windham	Somerset
201474184	Vermont	1	Windham	Stratton
201474184	Vermont	1	Windham	Somerset
201474375	Vermont	1	Windham	Stratton
201474375	Vermont	1	Windham	Somerset
201474333	Vermont	1	Windham	Stratton
201474333	Vermont	1	Windham	Somerset
201474438	Vermont	1	Windham	Stratton
201474438	Vermont	1	Windham	Somerset
201474400	Vermont	1	Windham	Sunderland
201474400	Vermont	1	Windham	Stratton
201474400	Vermont	1	Windham	Somerset
201474400	Vermont	1	Bennington	Sunderland
