score	bar_type	drain_tot	strkm_tot	upstr_bars	Slope_perc	Q2_m3_s	w_W_m2_ST	hydro_rof	struct_rof	geo_rof	ave_Value	afAve_Value	max_Dif	Observed_Date	unique_id	featureid
0.894	1	35.9811	48.38159403	33	2.1600001	18.94050781	250.8154061	0.489719756	0.545454222	0.725565868	NA	NA	NA	NA	727	201476337
0.706	1	3.9456	5.590869085	4	11.6400003	2.449972304	486.1140929	0.785110968	0.001957058	0.828706604	NA	NA	NA	NA	1305	201477101
0.585	1	0.4239	0.287618026	1	5.9899998	0.761905388	139.50249	0.667844373	0.259264973	0.213751946	NA	NA	NA	NA	1148	201476900
0.565	1	0.4023	0.26380085	0	5.9899998	0.761905388	139.50249	0.843506911	0.000923457	0.349493618	NA	NA	NA	NA	1147	201476900
0.641	1	0.5103	0.624225796	0	4.6999998	0.688512739	104.0539238	0.450131095	0.639116181	0.363302702	NA	NA	NA	NA	907	201476579
0.609	1	0.3447	0.059016485	0	3.0799999	0.434812008	54.18837179	0.580798367	0.056516578	0.659047967	NA	NA	NA	NA	734	201476348
0.668	1	0.3501	0.083781931	1	3.0799999	0.434812008	54.18837179	0.583835369	0.808414366	0.270121233	NA	NA	NA	NA	735	201476348
0.575	1	0.5013	0.857093774	0	4.9200001	0.479973181	90.94487417	0.814622521	0.710469439	0.650816562	NA	NA	NA	NA	1151	201476901
0.697	1	2.6523	4.413425813	1	4.6399999	1.836288633	167.7617981	0.037512307	0.464135707	0.39824824	NA	NA	NA	NA	964	201476645
0.703	1	3.7971	6.901746299	5	6.6700001	2.693044766	292.0466686	0.818874334	0.581988044	0.120021537	NA	NA	NA	NA	1344	201477181
0.656	1	1.5426	1.930658235	2	9.75	1.181088182	282.716014	0.239892515	0.990310215	0.376170284	NA	NA	NA	NA	730	201476348
0.634	1	0.0918	0.149644829	1	11.4099998	0.428599458	199.3040293	0.481411374	0.622815993	0.953376987	NA	NA	NA	NA	1349	201477130
0.66	1	0.0099	0.007842724	0	NA	NA	NA	0.970264787	0.995952859	0.432026612	NA	NA	NA	NA	1348	201477130
0.553	1	0.6957	0.532051157	0	8.1800003	0.136552534	80.65064285	0.37393184	0.388508592	0.940940352	NA	NA	NA	NA	582	201476108
0.689	1	0.9297	1.338089102	0	10.54	0.765944146	246.1182346	0.330793351	0.550574319	0.13386221	NA	NA	NA	NA	724	201476332
0.659	1	0.9504	1.426068361	1	10.54	0.765944146	246.1182346	0.057019897	0.327460149	0.868234607	NA	NA	NA	NA	725	201476387
0.584	1	1.26	1.130737723	1	5.75	3.62023712	291.9046307	0.777552317	0.957136691	0.199623129	NA	NA	NA	NA	583	201476108
0.638	1	2.052	4.482191692	2	8.3500004	1.837260577	301.9788346	0.682435967	0.454847075	0.458808249	NA	NA	NA	NA	1376	201477182
0.687	1	0.0621	0.007905622	0	13.7600002	0.129590077	132.1627134	0.744252541	0.259212008	0.145596508	NA	NA	NA	NA	1381	201477182
0.5	1	0.3879	0.579472487	1	10.0900002	0.352833048	159.9117708	0.019471043	0.529844237	0.167221253	NA	NA	NA	NA	781	201476387
0.5	1	0.3879	0.552917014	0	10.0900002	0.352833048	159.9117708	0.843642925	0.422721364	0.007255333	NA	NA	NA	NA	778	201476387
0.64	1	0.2439	0.948239344	0	6.5300002	0.481455434	120.8915297	0.783953041	0.743215097	0.474368906	NA	NA	NA	NA	1383	201477182
0.585	1	0.4059	0.661108872	2	10.0900002	0.352833048	159.9117708	0.438219627	0.37356954	0.835721439	NA	NA	NA	NA	780	201476387
0.658	1	0.4347	0.715834307	3	10.0900002	0.352833048	159.9117708	0.482068941	0.022244727	0.021905397	NA	NA	NA	NA	779	201476387
0.614	1	0.1971	0.374494026	0	NA	NA	NA	0.99260165	0.162910873	0.596374768	NA	NA	NA	NA	642	201476218
0.717	1	5.9049	7.356807376	2	3.03	3.693549034	155.3707242	0.776822443	0.586579494	0.223057496	NA	NA	NA	NA	664	201476241
0.539	1	0.324	0.407825697	0	3.5699999	3.871175267	187.4106455	0.339939134	0.048438527	0.917844701	NA	NA	NA	NA	663	201476241
0.577	1	0.1575	0.220896026	0	6.7800002	0.325779956	103.2515355	0.638743751	0.227997474	0.595766077	NA	NA	NA	NA	1111	201476847
0.602	1	0.6471	0.867408121	0	NA	NA	NA	0.046729127	0.796918958	0.841054328	NA	NA	NA	NA	1114	201476847
0.877	1	43.8561	58.86759326	44	2.26	21.55178757	279.933399	0.742483501	0.678979773	0.159800551	NA	NA	NA	NA	775	201476387
0	1	6.9228	8.549194109	4	5.7199998	4.336578699	317.8149045	0.878236889	0.916470886	0.988191796	NA	NA	NA	NA	659	201476241
0.62	1	0.6363	0.770958434	0	6.4899998	0.434862917	114.1893235	0.37403668	0.894980549	0.227869843	NA	NA	NA	NA	1297	201477093
0	1	1.3824	2.060603546	0	9.0100002	1.321750653	276.3784648	0.356598202	0.245996034	0.404250624	NA	NA	NA	NA	1105	201476841
0.902	1	44.2062	59.26934945	45	2.26	21.55178757	279.933399	0.534686776	0.693377398	0.068222326	NA	NA	NA	NA	776	201476387
0.618	1	0.3789	0.214783751	0	2	0.32813342	30.56749567	0.847026048	0.971907438	0.970393393	NA	NA	NA	NA	963	201476645
0.831	1	7.2126	9.105289199	5	3.5599999	4.327844504	197.6015953	0.236012836	0.789949061	0.754894869	NA	NA	NA	NA	661	201476241
0.639	1	1.9863	3.344636953	0	9.8599997	1.849932668	357.8157821	0.296227162	0.139973882	0.835646037	NA	NA	NA	NA	1004	201476683
0.82	1	6.4242	9.737128854	3	4.52	3.953353273	239.7871339	0.191276649	0.572583157	0.985139571	NA	NA	NA	NA	956	201476645
0.598	1	0.1521	0.30775444	0	8.6899996	0.196872458	102.876663	0.258438823	0.396847767	0.696396102	NA	NA	NA	NA	1295	201477093
0.643	1	1.116	1.622919801	1	6.7600002	1.106613457	189.7358143	0.235513991	0.840194559	0.419369465	NA	NA	NA	NA	1298	201477093
0	1	7.4934	9.642388219	6	3.5599999	4.327844504	197.6015953	0.028066346	0.28637218	0.422929347	NA	NA	NA	NA	660	201476357
0.693	1	2.7072	4.585385933	1	9.8599997	1.849932668	357.8157821	0.05815827	0.835221283	0.058865326	NA	NA	NA	NA	1001	201476683
0.878	1	10.1709	14.75242911	8	3.1300001	5.93752137	203.4939855	0.665585833	0.844773122	0.630096489	NA	NA	NA	NA	750	201476357
0.648	1	1.0269	1.318962483	0	4.1300001	0.714048227	93.11474702	0.449864668	0.238128367	0.530898067	NA	NA	NA	NA	753	201476373
0.774	1	9.7065	15.14857506	6	3.4100001	5.382374612	211.0794636	0.608056336	0.390229191	0.055271015	NA	NA	NA	NA	1099	201476813
0.84	1	10.4679	15.26015662	9	3.1300001	5.93752137	203.4939855	0.9644505	0.278048422	0.497464062	NA	NA	NA	NA	751	201476357
0.679	1	0.1395	0.036152181	0	NA	NA	NA	0.006472056	0.886437427	0.550527834	NA	NA	NA	NA	757	201476374
0.629	1	0.4356	0.684601619	0	0.8	28.44474054	113.8401903	0.552722117	0.127199863	0.62521518	NA	NA	NA	NA	979	201476652
0	1	62.3889	85.69210119	63	0.8	28.44474054	113.8401903	0.08794347	0.745804302	0.196040724	NA	NA	NA	NA	977	201476652
0.824	1	10.9413	16.16305581	10	1.86	6.074555174	122.3136199	0.616007744	0.378260273	0.641069072	NA	NA	NA	NA	749	201476357
0.964	1	46.7307	63.08106627	48	0.5	21.63885061	62.05713619	0.835286468	0.678359261	0.911211377	NA	NA	NA	NA	740	201476374
0.97	1	63.5472	87.37105925	65	1.15	28.57626773	164.0231755	0.060234851	0.128673965	0.845103118	NA	NA	NA	NA	973	201476652
0.871	1	12.348	17.76469923	12	2.6199999	6.804965338	182.3554982	0.461439426	0.546344645	0.810085471	NA	NA	NA	NA	744	201476357
0.849	1	11.1555	17.18431478	7	2.5699999	6.222586766	171.0500572	0.576815904	0.758959031	0.372472927	NA	NA	NA	NA	1093	201476813
0.623	1	0.2412	0.303911138	0	2.6199999	0.344853796	41.05096865	0.451837416	0.773533199	0.043412723	NA	NA	NA	NA	746	201476357
0.857	1	11.1807	17.26887873	8	2.5699999	6.222586766	171.0500572	0.383156793	0.214301866	0.27113357	NA	NA	NA	NA	1098	201476813
0.857	1	11.1807	17.28250576	9	2.5699999	6.222586766	171.0500572	0.79023571	0.614459901	0.605953722	NA	NA	NA	NA	1097	201476813
0.894	1	11.3643	17.5376309	10	2.5699999	6.222586766	171.0500572	0.512771051	0.567123522	0.984188244	NA	NA	NA	NA	1096	201476813
0.557	1	0.5589	0.316788296	1	7.4200001	1.060559043	203.88063	0.881977509	0.677970539	0.536440637	NA	NA	NA	NA	985	201476653
0.807	1	6.8832	10.9053439	3	4.4000001	3.85258908	230.4271572	0.684393335	0.384926501	0.922901469	NA	NA	NA	NA	1250	201477014
0.636	1	0.2826	0.042423576	0	7.4200001	1.060559043	203.88063	0.580586652	0.462042101	0.615925231	NA	NA	NA	NA	984	201476653
0.578	1	0.207	0.152077689	0	13.3000002	0.245970473	175.9939612	0.821586937	0.515819702	0.553480816	NA	NA	NA	NA	1255	201477015
0.87	1	11.9538	18.02639758	11	2.5699999	6.222586766	171.0500572	0.352449873	0.276371485	0.842096654	NA	NA	NA	NA	1095	201476813
0.71	1	0.2862	0.4601758	1	NA	NA	NA	0.699377878	0.887603908	0.485788357	NA	NA	NA	NA	1256	201477015
0.865	1	12.0186	18.25371712	12	2.5699999	6.222586766	171.0500572	0.282063916	0.77400278	0.705105154	NA	NA	NA	NA	1094	201476813
0.589	1	1.1772	2.041490958	2	4.71	2.043517397	179.6448252	0.924846294	0.337506497	0.016648063	NA	NA	NA	NA	1333	201477107
0.533	1	1.071	1.837562446	1	4.71	2.043517397	179.6448252	0.04190861	0.00453062	0.41902887	NA	NA	NA	NA	1332	201477107
0.564	1	0.2412	0.481810173	0	6.3000002	0.563754829	126.2090017	0.903609487	0.488771182	0.030900158	NA	NA	NA	NA	1329	201477107
0.569	1	0.846	0.908655686	0	6.04	0.706724191	135.4773041	0.494790245	0.549235253	0.34119501	NA	NA	NA	NA	1337	201477108
0.803	1	7.6536	6.140894922	1	1.54	10.47115118	132.9604745	0.798639399	0.015561241	0.384063558	NA	NA	NA	NA	183	201474954
0.711	1	5.5656	3.179846126	0	1.26	6.600630792	86.37098922	0.184969949	0.637889738	0.607280894	NA	NA	NA	NA	232	201475418
0.565	1	0.8694	0.952067066	0	7.25	1.827622105	261.5085177	0.712386539	0.358493737	0.6581926	NA	NA	NA	NA	121	201474720
0.751	1	6.2091	3.45399037	1	1.26	6.600630792	86.37098922	0.524384502	0.536595601	0.911909675	NA	NA	NA	NA	235	201475418
0.768	1	6.39	7.759733941	1	3.1199999	2.77197343	138.5969716	0.585502458	0.255637613	0.685105014	NA	NA	NA	NA	118	201474721
0.729	1	3.7251	3.950691312	0	3.1400001	3.31887506	152.6264299	0.332940669	0.163254505	0.136215217	NA	NA	NA	NA	94	201474642
0.847	1	7.2828	5.007087509	2	2.46	7.776597185	183.03517	0.809344127	0.323776506	0.168755055	NA	NA	NA	NA	233	201475418
0.841	1	9.1089	11.30596885	3	3.3099999	8.265389455	253.9009223	0.449959377	0.327288526	0.623418249	NA	NA	NA	NA	128	201474778
0.71	1	3.591	4.013946441	0	2.51	3.477313284	124.8821195	0.465777812	0.518320759	0.371800026	NA	NA	NA	NA	157	201474860
0.817	1	8.5779	5.716704861	3	3.0799999	6.96717874	216.9121171	0.053109808	0.534158891	0.642451608	NA	NA	NA	NA	234	201475418
0	1	10.476	8.665460423	2	3.27	8.415075414	253.0937308	0.484646742	0.828078693	0.253441884	NA	NA	NA	NA	184	201474954
0.634	1	2.502	0.433911049	0	3.49	2.896473932	158.4765002	0.694334022	0.977165663	0.776078677	NA	NA	NA	NA	304	201475462
0	1	0.2376	0.41677575	0	4.8400002	0.440967309	85.75376643	0.43533359	0.84307465	0.896010022	NA	NA	NA	NA	56	201474333
0.925	1	36.6381	37.19656039	12	1.14	25.35737966	153.1657507	0.881012799	0.330627118	0.443868107	NA	NA	NA	NA	236	201475117
0.815	1	7.3539	4.907172431	1	1.14	7.242204263	81.85493388	0.13537541	0.685870262	0.15887003	NA	NA	NA	NA	293	201475373
0.871	1	18.1908	18.20105325	2	0.82	14.47744216	83.24619637	0.067345021	0.338582691	0.589632979	NA	NA	NA	NA	179	201474902
0.923	1	23.1372	23.54694228	3	0.63	16.78838916	68.87310955	0.528854734	0.068971362	0.678759367	NA	NA	NA	NA	239	201475118
0.772	1	9.0828	5.604844762	2	2.27	7.746109934	168.566905	0.494960233	0.511529037	0.195848701	NA	NA	NA	NA	296	201475373
0.72	1	9.1287	5.660266202	3	2.27	7.746109934	168.566905	0.333890296	0.136926934	0.453231069	NA	NA	NA	NA	294	201475373
0.792	1	9.2601	5.929665457	4	2.27	7.746109934	168.566905	0.303597918	0.718199582	0.54124432	NA	NA	NA	NA	295	201475373
0.792	1	9.2601	5.936144906	5	2.27	7.746109934	168.566905	0.363725579	0.759686112	0.641786639	NA	NA	NA	NA	297	201475373
0.627	1	0.3924	0.485947833	0	6.5900002	0.427170724	114.9187243	0.411607458	0.582595553	0.166369509	NA	NA	NA	NA	148	201474820
0.848	1	9.405	6.213888153	6	2.27	7.746109934	168.566905	0.125921219	0.714585881	0.510706048	NA	NA	NA	NA	298	201475373
0.969	1	73.377	70.27220827	24	0.48	47.2800835	88.06127648	0.167389694	0.387490541	0.879463691	NA	NA	NA	NA	299	201475364
0.673	1	1.7163	1.163395294	0	2.3	2.201843091	91.05957975	0.009055806	0.830573548	0.90136106	NA	NA	NA	NA	65	201474424
0.967	1	43.3323	29.29442908	11	1.1900001	29.09323651	171.2567241	0.455117197	0.127018601	0.740798836	NA	NA	NA	NA	348	201475513
0.65	1	0.3186	0.357354861	0	7.1500001	0.415851478	123.021156	0.683361554	0.712685852	0.011874095	NA	NA	NA	NA	62	201474430
0.581	1	0.2916	0.551974634	0	2.29	0.726515856	52.0790022	0.118295491	0.818539412	0.465853619	NA	NA	NA	NA	110	201474695
0.653	1	0.7002	1.031108012	0	4.0700002	0.956452349	106.2015188	0.200160379	0.058365548	0.333730837	NA	NA	NA	NA	124	201474728
0.64	1	0.774	2.347668819	0	4.6900001	1.422442408	149.2432937	0.101733458	0.220411374	0.687336645	NA	NA	NA	NA	190	201474932
0.628	1	0.3969	0.912475709	0	4.54	0.531228678	88.28791006	0.014426686	0.578284459	0.894112705	NA	NA	NA	NA	126	201474728
0.571	1	0.1062	0.566484962	0	4.8200002	0.296713797	70.05200269	0.261709548	0.264511968	0.209300512	NA	NA	NA	NA	192	201474932
0.644	1	0.3078	0.779802617	0	NA	NA	NA	0.585857815	0.962117459	0.555319143	NA	NA	NA	NA	164	201474868
0.962	1	5.625	6.380572592	0	0.99	5.091049157	59.59961788	0.753605192	0.476376347	0.655746079	NA	NA	NA	NA	377	201475618
0	1	69.3819	78.1623361	22	7.52	44.8151403	1343.181962	0.535717441	0.939001894	0.230581138	NA	NA	NA	NA	168	201474918
0.928	1	69.3459	78.09614844	20	7.52	44.8151403	1343.181962	0.244666941	0.977415234	0.103510899	NA	NA	NA	NA	166	201474918
0	1	0.9675	1.407643484	0	7.2800002	0.887856218	183.0237054	0.198719242	0.020657314	0.310945883	NA	NA	NA	NA	389	201475655
0.598	1	0.3312	0.372052438	0	5.4200001	1.027103645	146.5585161	0.717422914	0.631974726	0.004345758	NA	NA	NA	NA	132	201474796
0.714	1	2.7747	3.886531226	0	NA	NA	NA	0.989369699	0.229958484	0.524492144	NA	NA	NA	NA	83	201474588
0.749	1	3.1005	2.441216815	1	13.0799999	0.077562255	97.19358155	0.222902458	0.25193884	0.858362337	NA	NA	NA	NA	171	201474870
0.602	1	0.9306	0.369410645	0	9.0600004	1.395162489	285.5257261	0.333919277	0.006441855	0.494857425	NA	NA	NA	NA	173	201474870
0.588	1	0.4725	0.920337514	0	10.5299997	0.617284062	220.737197	0.96414871	0.087966204	0.082566764	NA	NA	NA	NA	103	201474653
0.63	1	0.864	0.252407542	0	6.4400001	1.262301094	193.0509672	0.475117644	0.870318477	0.975505517	NA	NA	NA	NA	139	201474807
0.626	1	2.6082	2.858384575	0	5.7399998	4.432842074	322.4464768	0.488610134	0.659113261	0.152396677	NA	NA	NA	NA	135	201474806
0.557	1	1.0188	0.704343604	1	6.4400001	1.262301094	193.0509672	0.921816976	0.64058229	0.423912946	NA	NA	NA	NA	141	201474807
0.523	1	1.3419	1.12776746	2	7.1500001	1.308189344	218.1955969	0.469949439	0.595412364	0.412207972	NA	NA	NA	NA	140	201474807
0.69	1	1.998	2.657329597	1	3.49	2.014559261	132.1661025	0.455694149	0.847744923	0.83614448	NA	NA	NA	NA	96	201474653
0.7	1	2.6028	2.70877738	2	0.25	2.052883235	9.557113946	0.068036808	0.005041995	0.306311539	NA	NA	NA	NA	97	201474653
0.641	1	3.1653	3.207415039	3	1.76	3.61166206	89.24231965	0.631138174	0.835479205	0.216246695	NA	NA	NA	NA	98	201474653
0.733	1	5.4288	5.233275537	4	2.6099999	4.207455098	142.8416526	0.751768738	0.75064944	0.308963553	NA	NA	NA	NA	206	201475065
0.582	1	1.4436	2.491747954	0	10.71	2.478204574	449.8447753	0.891123026	0.328176249	0.282515225	NA	NA	NA	NA	414	201475828
0.853	1	6.876	5.568573953	6	0.82	5.350695603	50.60851597	0.568923379	0.360230044	0.164420958	NA	NA	NA	NA	211	201475065
0.732	1	3.816	3.620630076	4	1.76	3.61166206	89.24231965	0.385642312	0.749411991	0.923645064	NA	NA	NA	NA	101	201474653
0.695	1	3.8988	3.778363303	5	1.76	3.61166206	89.24231965	0.625844485	0.377462989	0.361208369	NA	NA	NA	NA	99	201474653
0.763	1	1.2636	1.899171784	0	5.9200001	1.316107497	181.2057711	0.125319663	0.185046735	0.557743574	NA	NA	NA	NA	108	201475020
0.774	1	5.3424	6.177103851	7	2.3499999	4.395558155	131.4557209	0.994333082	0.686084971	0.231434665	NA	NA	NA	NA	214	201475020
0.817	1	10.2573	6.898352392	7	1.04	7.601438702	76.50430136	0.850659444	0.181547542	0.040895169	NA	NA	NA	NA	212	201475065
0.733	1	5.7393	4.86827692	0	3.6600001	4.384366983	204.47451	0.538059456	0.959013154	0.268619591	NA	NA	NA	NA	279	201475331
0.592	1	1.5489	2.162864109	0	9.5699997	1.61245849	324.2356968	0.758483019	0.127042326	0.035397551	NA	NA	NA	NA	273	201475367
0.824	1	7.7346	8.674649195	8	2.0599999	6.014841081	134.7981458	0.103023485	0.229523856	0.386066926	NA	NA	NA	NA	217	201475020
0.864	1	12.6657	8.260312072	8	1.33	9.461093359	109.1508068	0.123250187	0.48653617	0.116013526	NA	NA	NA	NA	207	201475065
0.862	1	8.5221	7.97205753	2	1.79	6.230936962	119.2159412	0.970601278	0.935564237	0.901843751	NA	NA	NA	NA	275	201475422
0.918	1	8.64	9.272422786	9	2.1300001	7.058953688	150.9921692	0.933608069	0.359620661	0.57623529	NA	NA	NA	NA	216	201475020
