unique_id	state	dot_district	county	town
727	Vermont	2	Windham	Halifax
1305	Vermont	2	Windham	Halifax
1148	Vermont	2	Windham	Halifax
1147	Vermont	2	Windham	Halifax
907	Vermont	2	Windham	Halifax
734	Vermont	2	Windham	Halifax
735	Vermont	2	Windham	Halifax
1151	Vermont	2	Windham	Halifax
964	Vermont	2	Windham	Halifax
1344	Vermont	2	Windham	Halifax
730	Vermont	2	Windham	Halifax
1349	Vermont	2	Windham	Halifax
1348	Vermont	2	Windham	Halifax
582	Vermont	2	Windham	Marlboro
724	Vermont	2	Windham	Halifax
725	Vermont	2	Windham	Halifax
583	Vermont	2	Windham	Marlboro
1376	Vermont	2	Windham	Halifax
1381	Vermont	2	Windham	Halifax
781	Vermont	2	Windham	Halifax
778	Vermont	2	Windham	Halifax
1383	Vermont	2	Windham	Halifax
780	Vermont	2	Windham	Halifax
779	Vermont	2	Windham	Halifax
642	Vermont	2	Windham	Brattleboro
664	Vermont	2	Windham	Halifax
663	Vermont	2	Windham	Halifax
1111	Vermont	2	Windham	Halifax
1114	Vermont	2	Windham	Halifax
775	Vermont	2	Windham	Halifax
659	Vermont	2	Windham	Guilford
1297	Vermont	2	Windham	Halifax
1105	Vermont	2	Windham	Halifax
776	Vermont	2	Windham	Halifax
963	Vermont	2	Windham	Halifax
661	Vermont	2	Windham	Guilford
1004	Vermont	2	Windham	Halifax
956	Vermont	2	Windham	Halifax
1295	Vermont	2	Windham	Halifax
1298	Vermont	2	Windham	Halifax
660	Vermont	2	Windham	Guilford
1001	Vermont	2	Windham	Halifax
750	Vermont	2	Windham	Guilford
753	Vermont	2	Windham	Guilford
1099	Vermont	2	Windham	Guilford
751	Vermont	2	Windham	Guilford
757	Vermont	2	Windham	Guilford
979	Vermont	2	Windham	Guilford
977	Vermont	2	Windham	Guilford
749	Vermont	2	Windham	Guilford
740	Vermont	2	Windham	Guilford
973	Vermont	2	Windham	Guilford
744	Vermont	2	Windham	Guilford
1093	Vermont	2	Windham	Guilford
746	Vermont	2	Windham	Guilford
1098	Vermont	2	Windham	Guilford
1097	Vermont	2	Windham	Guilford
1096	Vermont	2	Windham	Guilford
985	Vermont	2	Windham	Guilford
1250	Vermont	2	Windham	Guilford
984	Vermont	2	Windham	Guilford
1255	Vermont	2	Windham	Guilford
1095	Vermont	2	Windham	Guilford
1256	Vermont	2	Windham	Guilford
1094	Vermont	2	Windham	Guilford
1333	Vermont	2	Windham	Guilford
1332	Vermont	2	Windham	Guilford
1329	Vermont	2	Windham	Guilford
1337	Vermont	2	Windham	Guilford
183	Vermont	1	Bennington	Glastenbury
232	Vermont	1	Bennington	Glastenbury
121	Vermont	1	Bennington	Glastenbury
235	Vermont	1	Bennington	Glastenbury
118	Vermont	1	Bennington	Glastenbury
94	Vermont	1	Bennington	Glastenbury
233	Vermont	1	Bennington	Glastenbury
128	Vermont	1	Bennington	Glastenbury
157	Vermont	1	Bennington	Glastenbury
234	Vermont	1	Bennington	Glastenbury
184	Vermont	1	Bennington	Glastenbury
304	Vermont	1	Bennington	Glastenbury
56	Vermont	1	Windham	Stratton
236	Vermont	1	Windham	Somerset
293	Vermont	1	Windham	Somerset
179	Vermont	1	Windham	Somerset
